plate,mjd,fiberid,redshift,ra,dec,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw
1030,52914,498,0.02667905,325.77341,0.64122355,58.49652,8.314805,18.13027,10.89551,3.802395,95.52967,32.22343,-22.49975
1036,52582,42,0.0565335,338.22034,-1.0811995,35.6527,23.67953,22.64981,17.80604,3.355053,121.6212,38.73344,-39.18154
268,51633,372,0.1098269,149.09908,1.150009,16.53466,32.18532,28.24628,21.60027,4.785135,117.589,28.10649,-24.1276
274,51913,290,0.04147156,159.10736,-0.94318257,17.54896,7.022115,13.14174,9.584253,0.5824907,56.73487,18.08143,-23.75077
281,51614,564,0.07320953,172.67871,1.0747506,18.64617,28.92178,24.00319,16.14433,2.638412,102.6116,31.18071,-19.46255
288,52000,529,0.1117322,185.18769,1.1592739,19.60329,26.47089,11.67196,8.877131,8.842936,34.3674,7.740804,-2.721392
295,51985,503,0.03931212,198.4486,-0.045569289,29.81905,256.6841,90.24828,73.31903,11.61408,831.1744,196.916,-16.20575
304,51609,585,0.05469834,215.4399,1.0648441,9.863086,41.98055,30.35243,20.78449,3.728106,149.1086,37.83643,-21.84776
312,51689,356,0.1211023,228.78444,0.14788626,9.260856,12.9408,6.831593,3.783726,2.380001,9.829135,1.601773,-0.553619
333,52313,1,0.07117606,185.77106,-3.4124774,40.10103,113.3873,45.45697,33.53745,17.80907,64.93163,20.39218,-2.187496
341,51690,56,0.07909684,200.97449,-3.5223978,12.78734,31.51864,10.9313,0.9578856,4.172996,24.5569,12.58537,-0.8151469
350,51691,76,0.08596137,259.93034,64.553716,3.22275,17.76236,11.45423,9.022459,1.21162,55.59373,17.18743,-13.23549
363,51989,259,0.07745983,232.43934,-1.1278558,6.430272,15.71981,17.47973,11.7733,3.19739,52.87035,11.36238,-10.59609
374,51791,505,0.05218136,333.73167,0.27485811,23.44233,94.4655,24.72692,16.30698,8.278506,218.0789,48.97749,-6.26333
383,51818,337,0.05955779,350.13912,0.82900867,817.6168,139.005,116.2811,84.8955,18.35709,1048.457,302.8551,-122.5113
390,51900,226,0.1412994,5.0444921,-0.81467843,9.403334,51.24667,11.02879,9.21331,0.3777229,128.3575,27.08805,-6.918147
399,51817,141,0.07840444,21.455673,-0.44838847,14.64211,27.47215,13.90623,5.138728,1.067868,21.73382,6.529528,-1.591238
405,51816,451,0.06637084,33.517483,1.2297846,102.3992,196.6657,103.4867,57.97398,13.3344,618.6955,178.7833,-56.24734
414,51869,78,0.129365,52.256104,-0.25979753,15.32843,38.44852,22.53416,13.13104,5.815466,102.4676,17.53977,-12.92604
422,51811,232,0.07507979,16.840353,14.274564,14.1342,48.22347,5.122462,3.969584,1.850001,75.18913,26.00026,-1.729528
429,51820,444,0.09454484,26.655651,14.913111,8.055241,54.70832,20.88375,18.10735,4.704666,87.60797,18.53367,-7.257618
437,51876,578,0.06379876,121.14197,43.37138,5.778475,31.68563,11.74161,8.44979,5.581425,63.33204,15.45614,-6.942805
444,51883,136,0.1052317,128.55625,51.959178,25.69608,58.82967,29.02584,16.04994,10.37301,37.54548,17.46437,-2.761352
450,51908,368,0.1723388,136.37109,56.451631,12.09006,82.91571,25.86372,22.98052,7.080226,214.478,43.56305,-23.64158
456,51910,555,0.03110787,42.057934,-8.0791907,7.261353,25.75798,20.50567,12.34115,2.869007,72.47904,21.37515,-10.89158
465,51910,217,0.190404,61.401434,-5.7711224,10.54114,65.31181,15.5627,10.60023,3.789586,142.863,19.12566,-12.34753
475,51965,314,0.143156,141.37223,1.3270043,36.56861,50.66198,20.45376,21.00998,8.147777,75.81313,17.67091,-8.124473
490,51929,164,0.09673071,164.62488,66.359767,6.420372,16.84369,19.04529,6.92997,1.070076,17.82839,8.624662,-0.9381062
496,51988,310,0.05327911,197.65029,65.90597,120.5239,52.88223,53.84658,41.28868,11.57539,303.0762,106.1923,-49.10808
505,52317,30,0.1110985,159.98328,1.9940855,33.49214,72.93343,35.69609,25.31987,7.778269,191.6185,38.31587,-12.78051
512,51992,379,0.0749736,171.85792,3.0385928,54.19777,218.7944,109.5285,78.63081,14.23338,516.7292,143.6898,-35.36079
518,52282,79,0.1338597,184.6573,2.0169905,8.044833,35.63955,12.24972,13.71205,2.275697,85.10447,23.91133,-14.22993
526,52312,242,0.1106594,199.82978,1.5199863,77.87617,80.67042,34.67968,29.06676,10.17966,58.93249,13.50601,-3.859554
532,51993,11,0.08466429,212.86361,1.4548279,8.385534,40.44945,10.79443,14.3619,5.886264,91.08593,25.88346,-5.776366
541,51959,421,0.1495504,114.47845,33.251136,2.54027,15.39409,8.450755,5.722869,29.446,36.28799,8.637833,-6.703505
551,51993,79,0.03817014,134.4092,49.609312,226.1978,85.6633,89.65858,63.01902,13.4673,511.2532,154.0271,-58.24001
558,52317,135,0.07522809,149.5671,56.369264,22.49726,123.7033,56.97681,38.45995,13.11043,307.9597,65.87419,-19.22574
569,52264,293,0.09282144,142.86195,2.9998938,21.51467,43.39394,24.82006,17.33236,3.985377,47.5806,11.19573,-2.571065
579,52338,61,0.2338855,163.52715,4.2360085,10.66606,36.80164,11.39532,4.647692,6.182739,22.48828,8.31815,-2.095677
587,52026,232,0.02887622,220.73856,3.5575191,9.636965,33.45272,9.699781,5.685333,3.354875,38.57203,12.76241,-1.174161
596,52370,141,0.03217877,168.77648,63.367114,4.474658,4.506323,7.977846,3.270611,0.8701549,16.30659,6.656518,-3.664207
606,52365,188,0.1411318,214.46381,60.584214,7.854526,23.76319,9.718077,4.600343,2.984732,59.3551,12.09073,-6.060701
616,52442,613,0.0847341,236.65661,54.855604,6.154456,39.68014,17.38657,9.937018,3.760302,93.64568,23.79447,-10.44223
624,52377,243,0.04937972,244.73407,46.484057,22.02269,27.99031,5.198476,6.661303,5.553875,25.63892,11.58939,-0.8278188
814,52443,38,0.1634736,245.24209,44.576829,8.240721,61.3649,19.23927,12.48632,6.937465,137.015,23.09906,-9.04904
825,52289,255,0.1425238,121.65535,32.821531,10.22707,39.76642,19.19426,16.38986,1.010177,119.6584,29.45448,-19.5319
833,52314,421,0.1154965,140.20774,46.328735,31.41444,71.17149,40.5984,28.89683,9.628247,184.2765,40.19577,-17.411
840,52374,465,0.0759038,178.08186,5.3813369,7.025705,26.26566,10.86006,3.815256,2.580935,63.82556,13.86543,-7.776962
847,52426,473,0.03056855,191.97677,5.0015741,27.17453,123.5983,49.7132,32.36668,12.38079,249.6394,54.7147,-8.711109
854,52373,29,0.003912264,207.06683,3.9508599,29.46771,173.5363,95.25832,68.91048,15.92975,425.6382,98.18337,-16.70737
862,52325,393,0.08987524,124.62002,33.506064,33.60847,62.35527,18.09542,13.18626,5.113831,89.61478,20.58782,-8.620521
876,52669,111,0.1402954,164.2823,49.81169,22.89262,133.6431,58.18304,41.21258,9.0869,389.9898,91.28761,-38.59781
884,52374,382,0.06092159,185.25195,52.606795,16.68808,168.3709,66.33346,57.04634,7.531473,424.1492,83.83044,-37.183
890,52583,372,0.06181436,118.55003,32.633949,116.171,549.7759,269.6013,202.1792,35.04999,1594.774,377.8091,-65.88983
899,52620,111,0.1370072,138.61925,46.589943,45.17146,169.17,83.59879,49.28289,14.36312,464.1147,110.6645,-52.19112
