#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_cont,h_beta_cont,h_gamma_cont,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,e_bv_sfd,ratio_oiii_hb,ratio_oiii_hg
930,52618,362,24.8602,131.3864,55.26254,39.51371,40.18723,35.79967,-0.5049536,-2.997947,-1.570655,0.04224855,0.1892144,0.4498563
944,52614,401,101.4841,19.3989,1.903313,74.84795,76.3687,65.53598,-1.392675,0.1200724,0.3179645,0.01076057,5.231433,53.3197
954,52405,429,36.92509,218.9061,246.0482,83.67577,85.11951,85.87788,-0.6126192,-2.446141,-2.813342,0.0161176,0.1686801,0.1500726
963,52643,545,2211.76,2536.629,1216.535,114.205,162.7359,141.8205,-18.62582,-11.2408,-6.669644,0.01648002,0.8719287,1.818081
973,52426,114,844.8409,5054.773,2051.066,129.9092,153.9252,172.3322,-5.789919,-23.87314,-9.944602,0.02267168,0.1671373,0.4119034
978,52441,524,5745.547,7375.022,3320.828,138.0612,170.3096,183.1976,-46.01173,-31.24908,-14.50542,0.0337978,0.7790549,1.730155
999,52636,151,63.70767,277.0154,95.30494,89.7738,88.47884,78.64746,-0.7157905,-2.803337,-0.8389749,0.03219817,0.2299788,0.6684613
1002,52646,237,5.242094,8.378124,11.08055,124.2793,127.5988,100.3264,-0.08472972,-0.08904044,-0.131986,0.03394952,0.6256882,0.4730896
1003,52641,87,284.7885,32.97884,15.11379,83.43907,81.08174,72.86118,-3.550686,-0.1441127,0.2791714,0.03655808,8.635493,18.84296
1006,52708,552,27.20902,35.00586,38.85051,111.02,114.7121,86.46817,-0.3207664,-0.3363576,-0.4104898,0.01076256,0.7772707,0.7003518
1012,52649,74,2502.272,3461.101,1471.97,99.28584,113.7428,108.5238,-25.67009,-22.34332,-10.86124,0.01297909,0.7229698,1.699948
1186,52646,261,104.8692,692.0834,681.0766,179.0018,181.956,194.5838,-0.6433886,-3.462079,-3.242206,0.0328501,0.1515269,0.1539757
1218,52709,54,1215.503,3987.076,1858.835,108.709,126.7889,134.4278,-12.19428,-23.61081,-11.26149,0.01521724,0.3048607,0.6539056
1223,52781,471,2849.511,3397.969,1610.891,110.2934,120.0538,128.1825,-29.28582,-22.88305,-10.27112,0.02880776,0.8385926,1.768904
1225,52760,9,4464.063,1617.351,988.4275,107.1233,145.4947,126.7886,-43.07536,-8.725917,-6.243511,0.02711669,2.760107,4.516329
1272,52989,380,38.45893,43.97346,23.49476,59.43296,61.74902,45.75765,-0.4019862,-0.5443212,-0.4305161,0.03028289,0.8745942,1.636915
1272,52989,539,48.70022,50.46987,52.84549,84.91138,88.21338,64.98377,-0.4394958,-0.4699351,-0.6982512,0.02436521,0.9649365,0.9215587
1277,52765,332,858.121,1431.322,790.969,66.44337,100.2821,89.97876,-12.90127,-10.36662,-7.349889,0.01941598,0.5995306,1.084898
1295,52934,124,56.2268,20.39046,11.67315,90.02455,91.66026,67.72958,-0.6647905,-0.2221936,0.03728208,0.0313943,2.757506,4.816761
1309,52762,134,67.09587,313.7485,139.433,61.55217,62.51955,56.98298,-1.111032,-4.812883,-2.40203,0.01857451,0.2138524,0.4812053
1309,52762,443,1165.69,1218.343,612.5424,74.09117,84.11856,77.69051,-16.58011,-11.11801,-6.353217,0.01942769,0.9567834,1.903035
1314,53050,408,36.15646,8.779606,24.90985,59.00901,61.20042,44.02469,-0.4684209,-0.1936383,-0.5041848,0.01811635,4.118233,1.451492
1314,53050,526,40.27545,17.63319,9.599951,56.5369,57.73594,43.34802,-0.7527615,-0.1714098,-0.3846656,0.01860303,2.284071,4.195381
1325,52762,634,83.56572,694.1924,654.5754,171.2092,173.5031,183.0846,-0.6347962,-3.341009,-3.176981,0.01339313,0.1203783,0.127664
1362,53050,448,38.3243,2.686662,5.852986,66.11191,68.08817,52.12835,-0.5380298,-0.06757139,-0.1268767,0.01572586,14.26465,6.54782
1365,53062,378,1974.528,2177.18,1118.539,141.6958,195.1976,180.742,-13.45289,-8.205224,-5.109233,0.01563415,0.9069203,1.765274
1397,53119,190,591.0836,2752.637,1433.392,114.5617,140.978,164.0285,-3.896324,-14.3843,-7.395362,0.01369871,0.2147336,0.4123669
1427,52996,380,101.9952,346.3581,138.6561,63.06413,61.81687,59.10854,-1.846123,-5.43433,-2.179855,0.01891831,0.2944791,0.7355985
1440,53084,204,846.9125,3967.237,1952.957,120.5039,148.8512,170.0506,-5.921784,-19.68156,-9.415924,0.01640413,0.2134766,0.4336566
1443,53055,358,524.3704,4215.459,1771.277,105.6132,140.7753,139.0319,-4.37827,-21.6249,-10.53031,0.02253275,0.1243922,0.2960408
1444,53054,202,951.3359,2711.675,1324.708,141.2914,162.4272,174.1626,-5.843085,-12.26691,-6.42264,0.02625755,0.3508296,0.7181479
1579,53473,88,618.4948,498.1334,395.2115,88.66252,102.7372,96.37349,-5.603537,-3.723757,-3.298883,0.03708306,1.241625,1.564971
1582,52939,612,10767.32,1666.099,946.7382,184.5282,194.1042,190.9713,-56.58248,-7.581189,-4.643159,0.04483011,6.462593,11.37307
1584,52943,124,660.315,808.6858,511.2833,74.11974,99.35465,91.81316,-8.934897,-5.983191,-4.543216,0.06539792,0.8165285,1.291486
1590,52974,394,134.6778,403.8087,166.2597,50.32428,49.96404,44.16023,-2.914965,-7.855388,-3.376325,0.02599517,0.3335187,0.8100445
1590,52974,557,126.3866,359.3059,147.681,49.57107,50.05652,44.30795,-2.830246,-7.158266,-3.091937,0.02808096,0.3517522,0.8558083
1592,52990,485,85.07539,54.70678,22.65399,77.00324,78.35011,56.66754,-1.149804,-0.7158206,-0.3658498,0.01829977,1.555116,3.755427
1596,52998,479,8771.437,3478.833,1541.655,68.23595,70.70445,87.38346,-137.1637,-53.31839,-19.28496,0.01504284,2.521374,5.689624
1601,53115,118,2310.751,3727.647,1729.409,112.1414,137.849,152.8652,-20.68782,-19.79977,-9.337962,0.02868453,0.6198953,1.33615
1610,53144,249,981.0342,1434.56,820.0704,79.49687,112.7754,105.2014,-12.819,-9.266861,-6.360239,0.02661542,0.6838572,1.19628
1610,53144,469,362.11,982.1518,581.3185,57.00726,82.28902,77.15526,-5.269978,-8.866331,-6.249581,0.03196147,0.3686905,0.6229115
1625,53140,134,534.6088,2319.595,1068.148,55.26161,66.79044,70.97461,-8.234655,-25.66527,-12.44667,0.02060772,0.230475,0.5005008
1655,53523,640,1719.03,942.7699,323.7761,93.40614,104.9086,111.4341,-19.79221,-10.66314,-3.509869,0.05431984,1.823382,5.309318
1666,52991,81,110.6979,658.7897,289.0247,63.16325,62.66821,64.41695,-1.94092,-10.47489,-4.291709,0.1454702,0.1680322,0.383005
1666,52991,375,60.94982,152.8319,64.51034,57.27571,58.19849,46.7863,-1.148622,-2.340982,-1.074388,0.1612922,0.398803,0.944807
1671,53446,108,681.6654,290.4829,110.1176,96.77399,95.38209,83.22707,-7.601675,-2.764168,-1.006956,0.02642056,2.346663,6.19034
1711,53535,540,50.24551,60.47175,22.55717,90.5367,95.62366,69.44489,-0.6908379,-0.6607507,-0.1809672,0.03073783,0.8308923,2.227474
1713,53827,589,576.0413,403.2997,168.9808,56.47104,56.23094,56.66615,-11.75206,-7.163795,-2.904426,0.03447064,1.428321,3.408916
1727,53859,568,1147.539,5024.298,2172.032,143.3865,174.2526,194.2222,-6.33947,-21.31766,-9.054416,0.04138075,0.2283979,0.528325
1738,53051,419,814.9982,3135.877,1397.776,78.9038,106.0911,107.4144,-9.525914,-21.42677,-10.91753,0.03650901,0.2598948,0.5830679
1749,53357,591,30.34113,21.88407,19.9525,62.67859,63.99076,47.42377,-0.3524163,-0.3396915,-0.35699,0.03198154,1.386448,1.520668
1751,53377,484,21.98962,46.99559,57.77541,83.85445,86.55244,63.4194,-0.3249097,-0.4456516,-0.8100427,0.01367551,0.4679082,0.3806052
1776,53858,612,881.886,1311.827,560.2008,71.7622,75.20683,90.15982,-13.83867,-13.2989,-5.077151,0.03179598,0.6722579,1.574232
1795,54507,106,531.7098,655.4658,521.223,96.30852,124.3029,127.1679,-4.642698,-3.992025,-3.425895,0.04276688,0.8111939,1.02012
1795,54507,457,5399.232,4630.266,2533.496,174.8701,249.2136,231.335,-32.15296,-13.55527,-8.806407,0.03453428,1.166074,2.131139
1803,54152,511,29.79952,40.00201,32.92241,69.30692,72.02015,52.27537,-0.4779682,-0.5388531,-0.6176513,0.02490441,0.7449505,0.9051438
1805,53875,205,96.79306,773.0198,666.3454,147.6292,153.2612,167.3775,-0.5780233,-3.646176,-3.372039,0.02654593,0.1252142,0.1452596
1806,53559,477,31.21606,21.2979,1.348889,83.94417,87.93002,65.12786,-0.3973758,-0.2575647,-0.04624651,0.03171784,1.465687,23.14205
1811,53533,122,453.1424,1004.002,482.856,33.94528,44.36628,49.18785,-15.62968,-16.43305,-8.139177,0.02773762,0.4513361,0.9384628
1813,53903,613,65.09595,142.7439,39.34926,67.25025,66.92471,60.32895,-0.9512362,-1.795073,-0.05674897,0.02777667,0.4560332,1.654312
1814,54555,573,4178.405,1777.444,873.4644,79.4924,87.92663,87.41029,-51.05418,-14.6751,-8.164412,0.02729913,2.350794,4.783716
1831,54557,501,528.7509,2066.256,917.9634,53.48092,64.96871,70.60679,-7.704777,-23.49095,-10.76084,0.0306989,0.255898,0.5760044
